"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024年12月31日","94,120.0","93,280.0","97,010.0","92,615.0","5.75K","-0.88%"
"2024年12月30日","94,955.0","93,995.0","95,580.0","91,735.0","8.81K","-0.37%"
"2024年12月27日","95,310.0","96,775.0","98,425.0","93,985.0","7.88K","-0.23%"
"2024年12月26日","95,525.0","98,555.0","99,995.0","95,095.0","8.20K","-3.61%"
"2024年12月24日","99,100.0","95,015.0","99,685.0","93,545.0","10.65K","6.25%"
"2024年12月23日","93,270.0","95,730.0","96,595.0","92,460.0","14.66K","-3.45%"
"2024年12月20日","96,600.0","98,415.0","98,435.0","92,355.0","20.24K","0.10%"
"2024年12月19日","96,505.0","101,385.0","103,190.0","95,765.0","19.91K","-4.33%"
"2024年12月18日","100,870.0","106,500.0","106,960.0","100,325.0","18.67K","-5.90%"
"2024年12月17日","107,190.0","106,395.0","108,960.0","106,000.0","11.43K","0.59%"
"2024年12月16日","106,560.0","103,670.0","108,475.0","103,670.0","15.36K","4.16%"
"2024年12月13日","102,300.0","100,875.0","102,605.0","99,620.0","11.15K","1.89%"
"2024年12月12日","100,405.0","102,000.0","103,225.0","99,775.0","12.58K","-1.71%"
"2024年12月11日","102,150.0","97,550.0","102,465.0","96,290.0","13.65K","5.34%"
"2024年12月10日","96,975.0","97,490.0","98,985.0","94,785.0","11.15K","0.19%"
"2024年12月9日","96,790.0","101,300.0","102,265.0","94,640.0","14.14K","-5.51%"
"2024年12月6日","102,435.0","97,320.0","102,990.0","96,155.0","11.22K","2.67%"
"2024年12月5日","99,775.0","99,390.0","105,325.0","98,610.0","19.55K","-0.14%"
"2024年12月4日","99,915.0","97,040.0","100,280.0","95,390.0","13.09K","3.50%"
"2024年12月3日","96,535.0","96,380.0","97,395.0","94,435.0","9.60K","-0.10%"
"2024年12月2日","96,635.0","98,875.0","99,565.0","95,270.0","12.12K","-1.73%"
"2024年11月29日","98,339.8","96,415.0","98,560.0","94,760.0","1.45K","1.61%"
"2024年11月27日","96,785.0","91,695.0","97,500.0","91,475.0","10.76K","6.36%"
"2024年11月26日","90,995.0","94,350.0","95,225.0","90,785.0","15.78K","-4.16%"
"2024年11月25日","94,945.0","98,555.0","99,275.0","93,490.0","18.09K","-4.56%"
"2024年11月22日","99,485.0","98,860.0","100,170.0","97,430.0","17.26K","0.76%"
"2024年11月21日","98,735.0","94,665.0","99,575.0","94,290.0","20.64K","4.22%"
"2024年11月20日","94,740.0","92,330.0","95,565.0","92,005.0","13.16K","1.81%"
"2024年11月19日","93,060.0","91,840.0","94,715.0","90,770.0","14.59K","1.09%"
"2024年11月18日","92,060.0","90,195.0","93,215.0","89,755.0","12.51K","0.08%"
"2024年11月15日","91,985.0","87,970.0","92,350.0","87,005.0","12.20K","4.62%"
"2024年11月14日","87,920.0","89,990.0","92,335.0","87,345.0","12.05K","-2.59%"
"2024年11月13日","90,255.0","89,320.0","94,065.0","86,925.0","20.47K","0.18%"
"2024年11月12日","90,090.0","88,735.0","90,725.0","85,890.0","21.81K","2.68%"
"2024年11月11日","87,735.0","81,210.0","89,140.0","80,670.0","22.35K","13.41%"
"2024年11月8日","77,360.0","76,510.0","77,930.0","76,225.0","10.59K","0.23%"
"2024年11月7日","77,180.0","76,395.0","77,535.0","75,070.0","11.72K","0.40%"
"2024年11月6日","76,875.0","70,000.0","77,140.0","69,645.0","29.08K","10.04%"
"2024年11月5日","69,860.0","68,250.0","70,980.0","67,740.0","8.87K","3.22%"
"2024年11月4日","67,680.0","69,000.0","69,785.0","67,140.0","10.30K","-2.94%"
"2024年11月1日","69,730.0","70,885.0","72,190.0","69,230.0","11.90K","-1.04%"
"2024年10月31日","70,465.0","73,290.0","73,600.0","70,080.0","11.21K","-2.85%"
"2024年10月30日","72,535.0","73,170.0","73,775.0","72,135.0","8.00K","-1.10%"
