"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-1-2","109.209","108.330","109.365","108.085","26.89K","0.84%"
"2024-12-31","108.296","107.850","108.380","107.665","14.74K","0.34%"
"2024-12-30","107.933","107.795","108.180","107.545","11.95K","0.13%"
"2024-12-27","107.792","107.895","107.995","107.660","12.30K","-0.09%"
"2024-12-26","107.893","107.935","108.075","107.795","7.28K","-0.12%"
"2024-12-24","108.023","107.910","108.060","107.815","7.71K","0.20%"
"2024-12-23","107.807","107.525","108.045","107.450","15.27K","0.42%"
"2024-12-20","107.351","108.190","108.285","107.305","25.78K","-0.74%"
"2024-12-19","108.152","107.840","108.225","107.565","24.29K","0.37%"
"2024-12-18","107.749","106.640","108.000","106.520","21.48K","1.02%"
"2024-12-17","106.663","106.445","106.790","106.420","12.25K","-0.34%"
"2024-12-16","107.030","106.815","106.815","106.815","0.05K","0.03%"
"2024-12-13","106.993","106.965","107.180","106.740","7.54K","0.03%"
"2024-12-12","106.959","106.545","107.030","106.355","27.40K","0.25%"
"2024-12-11","106.695","106.365","106.805","106.260","29.21K","0.29%"
"2024-12-10","106.382","106.180","106.625","106.020","14.18K","0.24%"
"2024-12-9","106.125","105.965","106.195","105.780","14.36K","0.08%"
"2024-12-6","106.039","105.780","106.150","105.400","18.95K","0.32%"
"2024-12-5","105.701","106.305","106.360","105.685","19.94K","-0.55%"
"2024-12-4","106.290","106.425","106.700","106.065","21.10K","-0.05%"
"2024-12-3","106.340","106.460","106.580","106.065","20.93K","-0.08%"
"2024-12-2","106.423","105.820","106.725","105.820","24.59K","0.56%"
"2024-11-29","105.828","105.995","106.120","105.595","18.98K","-0.21%"
"2024-11-28","106.048","106.205","106.395","106.085","6.93K","0.00%"
"2024-11-27","106.048","106.800","106.890","105.815","24.31K","-0.86%"
"2024-11-26","106.968","107.410","107.470","106.460","20.60K","0.19%"
"2024-11-25","106.770","106.975","107.215","106.535","21.67K","-0.69%"
"2024-11-22","107.507","107.005","108.070","106.885","28.26K","0.54%"
"2024-11-21","106.930","106.555","107.115","106.410","23.07K","0.29%"
"2024-11-20","106.616","106.110","106.865","106.075","18.29K","0.45%"
