"日期","收盘","开盘","高","低","涨跌幅"
"2024-12-31","4.148","4.175","4.218","4.135","-0.28%"
"2024-12-30","4.160","4.203","4.216","4.163","-0.72%"
"2024-12-27","4.190","4.245","4.253","4.198","-0.70%"
"2024-12-26","4.219","4.251","4.323","4.229","-0.30%"
"2024-12-24","4.232","4.248","4.272","4.240","0.22%"
"2024-12-23","4.222","4.263","4.306","4.231","-0.67%"
"2024-12-20","4.251","4.272","4.301","4.247","-0.18%"
"2024-12-19","4.259","4.313","4.332","4.261","-0.76%"
"2024-12-18","4.291","4.260","4.316","4.232","1.04%"
"2024-12-17","4.247","4.260","4.294","4.249","0.15%"
"2024-12-16","4.241","4.279","4.287","4.233","0.05%"
"2024-12-13","4.239","4.229","4.255","4.220","0.36%"
"2024-12-12","4.224","4.219","4.267","4.194","0.54%"
"2024-12-11","4.201","4.232","4.281","4.175","-0.23%"
"2024-12-10","4.211","4.209","4.238","4.203","0.38%"
"2024-12-9","4.195","4.201","4.238","4.192","0.22%"
"2024-12-6","4.186","4.261","4.287","4.174","-1.01%"
"2024-12-5","4.229","4.259","4.272","4.205","0.12%"
"2024-12-4","4.224","4.311","4.324","4.224","-0.89%"
"2024-12-3","4.262","4.297","4.327","4.254","-0.48%"
"2024-12-2","4.283","4.314","4.359","4.281","-0.20%"
"2024-11-29","4.291","4.345","4.371","4.300","-0.90%"
"2024-11-27","4.330","4.372","4.372","4.323","-0.85%"
"2024-11-26","4.367","4.391","4.413","4.367","-0.10%"
"2024-11-25","4.371","4.438","4.440","4.378","-0.89%"
"2024-11-22","4.411","4.425","4.430","4.378","0.46%"
"2024-11-21","4.390","4.402","4.412","4.358","0.52%"
"2024-11-20","4.368","4.386","4.391","4.353","0.55%"
"2024-11-19","4.344","4.373","4.373","4.299","0.27%"
"2024-11-18","4.332","4.362","4.378","4.332","0.05%"
"2024-11-15","4.330","4.401","4.466","4.325","-0.77%"
"2024-11-14","4.363","4.334","4.385","4.291","1.50%"
"2024-11-13","4.299","4.402","4.418","4.299","-1.61%"
"2024-11-12","4.370","4.351","4.402","4.351","1.37%"
"2024-11-8","4.311","4.304","4.324","4.267","1.01%"
"2024-11-7","4.268","4.350","4.375","4.280","-1.07%"
"2024-11-6","4.314","4.270","4.339","4.270","1.45%"
"2024-11-5","4.252","4.273","4.294","4.253","0.09%"
"2024-11-4","4.248","4.286","4.302","4.232","-0.58%"
